INCP Education Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Unanderra - Mount Kembla,4,3,7,10,17,20,24,51,32,49,70,130,6,0,423,1591.134752,1591,"$1,500-$1,749 ($78,000-$90,999)"
Berkeley - Lake Heights - Cringila,3,0,3,7,4,11,13,17,19,31,30,40,5,0,183,1575.273224,1575,"$1,500-$1,749 ($78,000-$90,999)"
Port Kembla - Warrawong,0,0,0,4,4,7,9,14,21,12,13,25,3,0,112,1522.544643,1522,"$1,500-$1,749 ($78,000-$90,999)"
Windang - Primbee,0,0,0,0,0,3,4,6,11,15,13,18,0,3,73,1764.041096,1764,"$1,750-$1,999 ($91,000-$103,999)"
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,8,5,12,4,18,17,31,41,46,59,71,113,3,0,428,1548.306075,1548,"$1,500-$1,749 ($78,000-$90,999)"
Albion Park Rail,0,0,3,0,0,0,7,6,15,6,16,19,3,0,75,1731.333333,1731,"$1,500-$1,749 ($78,000-$90,999)"
Kiama,0,7,5,8,5,14,15,35,35,30,38,69,10,0,271,1574.077491,1574,"$1,500-$1,749 ($78,000-$90,999)"
Kiama Downs - Minnamurra,0,0,0,3,8,11,15,17,28,23,47,69,3,3,227,1716.079295,1716,"$1,500-$1,749 ($78,000-$90,999)"
Kiama Hinterland - Gerringong,0,5,7,3,9,12,30,27,28,30,47,69,3,0,270,1555.740741,1555,"$1,500-$1,749 ($78,000-$90,999)"
Shellharbour - Flinders,0,6,11,7,8,33,33,67,60,66,73,106,9,0,479,1549.478079,1549,"$1,500-$1,749 ($78,000-$90,999)"
Shellharbour - Oak Flats,0,3,0,0,4,8,20,27,26,24,32,49,0,0,193,1573.963731,1573,"$1,500-$1,749 ($78,000-$90,999)"
Warilla,0,0,3,13,5,12,12,40,34,36,49,48,4,3,259,1604.343629,1604,"$1,500-$1,749 ($78,000-$90,999)"
Balgownie - Fairy Meadow,5,9,11,15,27,32,42,61,79,67,93,178,9,12,640,1583.046875,1583,"$1,500-$1,749 ($78,000-$90,999)"
Corrimal - Tarrawanna - Bellambi,8,3,9,5,8,25,28,48,50,62,62,125,9,0,442,1576.300905,1576,"$1,500-$1,749 ($78,000-$90,999)"
Figtree - Keiraville,9,23,21,22,40,34,38,77,93,86,133,212,28,33,849,1643.93404,1643,"$1,500-$1,749 ($78,000-$90,999)"
Helensburgh,3,6,5,5,8,22,18,33,40,34,50,72,10,4,310,1600.645161,1600,"$1,500-$1,749 ($78,000-$90,999)"
Thirroul - Austinmer - Coalcliff,6,10,9,4,16,29,34,42,45,56,68,150,21,37,527,1741.176471,1741,"$1,500-$1,749 ($78,000-$90,999)"
Woonona - Bulli - Russell Vale,8,3,15,10,17,35,51,83,70,89,117,196,14,12,720,1630.3125,1630,"$1,500-$1,749 ($78,000-$90,999)"
Wollongong - East,6,8,5,7,25,24,29,48,73,71,88,126,11,17,538,1647.351301,1647,"$1,500-$1,749 ($78,000-$90,999)"
Wollongong - West,5,9,17,8,18,28,31,52,46,73,80,116,14,9,506,1591.650198,1591,"$1,500-$1,749 ($78,000-$90,999)"
Bulahdelah - Stroud,0,0,0,0,0,4,8,6,5,12,9,12,0,0,56,1575.446429,1575,"$1,500-$1,749 ($78,000-$90,999)"
Forster,4,4,5,11,6,13,14,24,26,39,42,55,0,4,247,1545.040486,1545,"$1,500-$1,749 ($78,000-$90,999)"
Forster-Tuncurry Surrounds,0,0,0,0,7,3,6,14,5,20,25,22,4,0,106,1730.896226,1730,"$1,500-$1,749 ($78,000-$90,999)"
Tuncurry,0,0,0,4,0,3,9,7,9,7,8,21,0,0,68,1515.808824,1515,"$1,500-$1,749 ($78,000-$90,999)"
Kempsey,3,5,0,5,8,17,17,18,31,28,34,51,0,0,217,1496.889401,1496,"$1,250-$1,499 ($65,000-$77,999)"
Kempsey Surrounds,0,3,5,0,4,12,15,28,25,31,31,32,0,0,186,1509.005376,1509,"$1,500-$1,749 ($78,000-$90,999)"
Macksville - Scotts Head,0,0,0,4,4,3,13,13,11,14,20,23,0,0,105,1558.095238,1558,"$1,500-$1,749 ($78,000-$90,999)"
Nambucca Heads,0,0,0,8,4,9,0,16,12,12,11,36,0,0,108,1494.675926,1494,"$1,250-$1,499 ($65,000-$77,999)"
Nambucca Heads Surrounds,0,3,5,0,7,3,14,24,22,19,37,46,0,0,180,1600.555556,1600,"$1,500-$1,749 ($78,000-$90,999)"
South West Rocks,0,0,0,5,3,4,5,14,8,21,17,18,3,4,102,1688.72549,1688,"$1,500-$1,749 ($78,000-$90,999)"
Lord Howe Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurieton - Bonny Hills,4,7,7,9,9,13,31,25,35,58,86,118,0,3,405,1649.691358,1649,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie - West,0,9,5,13,5,18,33,30,40,63,69,85,4,0,374,1580.882353,1580,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie Surrounds,0,0,0,0,0,6,9,10,7,13,9,21,0,3,78,1625.961538,1625,"$1,500-$1,749 ($78,000-$90,999)"
Wauchope,0,9,3,3,3,11,8,23,24,28,35,59,0,0,206,1571.966019,1571,"$1,500-$1,749 ($78,000-$90,999)"
