INCP Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Moree Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narrabri,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Narrabri Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunnedah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunnedah Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quirindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamworth - East,0,0,0,0,0,0,0,5,0,6,4,0,0,0,15,1691.666667,1691,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - North,0,0,0,0,0,0,0,0,0,4,0,4,0,0,8,1750,1750,"$1,750-$1,999 ($91,000-$103,999)"
Tamworth - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamworth Surrounds,0,0,0,5,0,0,0,0,0,0,0,3,0,0,8,984.375,984,"$800-$999 ($41,600-$51,999)"
Belmont - Bennetts Green,0,0,0,0,3,0,4,3,0,7,0,7,0,0,24,1383.333333,1383,"$1,250-$1,499 ($65,000-$77,999)"
Belmont South - Blacksmiths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlestown - Dudley,0,0,0,0,0,4,0,4,3,6,3,8,0,0,28,1563.392857,1563,"$1,500-$1,749 ($78,000-$90,999)"
Glendale - Cardiff - Hillsborough,0,0,0,0,0,0,0,13,3,3,0,8,0,0,27,1430.555556,1430,"$1,250-$1,499 ($65,000-$77,999)"
Mount Hutton - Windale,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Redhead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swansea - Caves Beach,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Valentine - Eleebana,0,0,0,0,0,0,0,0,0,5,4,0,0,0,9,2013.888889,2013,"$2,000-$2,999 ($104,000-$155,999)"
Warners Bay - Boolaroo,0,0,0,0,0,4,0,0,3,0,9,3,0,0,19,1850,1850,"$1,750-$1,999 ($91,000-$103,999)"
Bolton Point - Teralba,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,1513.888889,1513,"$1,500-$1,749 ($78,000-$90,999)"
Bonnells Bay - Silverwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgeworth - Cameron Park,0,0,0,0,0,0,0,0,5,9,4,0,0,0,18,1750,1750,"$1,750-$1,999 ($91,000-$103,999)"
Morisset - Cooranbong,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Toronto - Awaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wangi Wangi - Rathmines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
