"INCP Design, Engineering, Science and Transport Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Lake Munmorah - Mannering Park,0,0,0,0,4,3,3,3,10,0,4,11,4,0,42,1617.261905,1617,"$1,500-$1,749 ($78,000-$90,999)"
Ourimbah - Fountaindale,0,0,0,0,3,0,11,7,8,3,7,13,0,0,52,1485.576923,1485,"$1,250-$1,499 ($65,000-$77,999)"
Summerland Point - Gwandalan,0,0,0,0,0,0,5,4,5,4,0,6,5,4,33,1935.606061,1935,"$1,750-$1,999 ($91,000-$103,999)"
The Entrance,0,0,0,0,6,5,9,14,13,12,17,29,0,10,115,1740.652174,1740,"$1,500-$1,749 ($78,000-$90,999)"
Toukley - Norah Head,0,0,0,5,3,0,3,5,8,3,3,29,0,0,59,1526.271186,1526,"$1,500-$1,749 ($78,000-$90,999)"
Tuggerah - Kangy Angy,0,0,0,0,0,0,9,5,3,4,9,13,0,0,43,1656.395349,1656,"$1,500-$1,749 ($78,000-$90,999)"
Warnervale - Wadalba,0,0,0,3,8,3,12,9,15,5,14,31,12,9,121,1829.958678,1829,"$1,750-$1,999 ($91,000-$103,999)"
Wyong,0,0,0,4,0,0,3,4,4,10,4,14,0,0,43,1558.139535,1558,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst - East,0,0,0,3,4,4,6,7,9,12,10,25,4,5,89,1731.179775,1731,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst Surrounds,0,0,5,0,3,0,11,8,14,11,7,14,8,3,84,1663.690476,1663,"$1,500-$1,749 ($78,000-$90,999)"
Oberon,0,0,0,0,0,0,4,0,3,7,3,17,0,4,38,1907.236842,1907,"$1,750-$1,999 ($91,000-$103,999)"
Bathurst - South,0,0,0,0,4,6,10,18,15,10,13,31,5,3,115,1653.478261,1653,"$1,500-$1,749 ($78,000-$90,999)"
Bathurst - West,0,0,4,0,5,7,0,9,26,18,21,45,9,8,152,1832.894737,1832,"$1,750-$1,999 ($91,000-$103,999)"
Condobolin,0,0,0,0,0,4,0,6,3,4,3,3,5,4,32,1989.0625,1989,"$1,750-$1,999 ($91,000-$103,999)"
Cowra,0,5,0,0,0,4,0,6,9,6,5,17,3,0,55,1582.272727,1582,"$1,500-$1,749 ($78,000-$90,999)"
Cowra Surrounds,0,0,0,0,0,0,0,5,4,5,3,10,0,0,27,1685.185185,1685,"$1,500-$1,749 ($78,000-$90,999)"
Forbes,0,0,0,0,0,7,4,10,9,12,13,21,4,6,86,1833.430233,1833,"$1,750-$1,999 ($91,000-$103,999)"
Grenfell,0,0,0,0,4,0,0,5,0,0,0,3,0,0,12,1129.166667,1129,"$1,000-$1,249 ($52,000-$64,999)"
Parkes (NSW),0,0,0,0,3,0,7,9,14,20,20,45,15,13,146,2044.691781,2044,"$2,000-$2,999 ($104,000-$155,999)"
Parkes Surrounds,0,0,0,0,0,0,0,4,0,0,0,4,4,0,12,2083.333333,2083,"$2,000-$2,999 ($104,000-$155,999)"
West Wyalong,0,0,0,0,0,0,0,9,5,6,4,26,9,6,65,2088.461538,2088,"$2,000-$2,999 ($104,000-$155,999)"
Lithgow,0,0,0,3,0,5,0,13,13,13,15,25,5,7,99,1855.808081,1855,"$1,750-$1,999 ($91,000-$103,999)"
Lithgow Surrounds,0,0,3,3,4,0,7,10,13,5,5,12,8,11,81,1824.074074,1824,"$1,750-$1,999 ($91,000-$103,999)"
Mudgee,0,0,0,0,7,7,6,16,12,18,20,54,18,31,189,2097.883598,2097,"$2,000-$2,999 ($104,000-$155,999)"
Mudgee Surrounds - East,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Mudgee Surrounds - West,0,0,0,3,5,4,4,9,13,16,4,13,4,15,90,1828.888889,1828,"$1,750-$1,999 ($91,000-$103,999)"
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,0,0,0,0,0,5,3,4,6,4,9,14,8,6,59,2056.355932,2056,"$2,000-$2,999 ($104,000-$155,999)"
Orange,0,6,7,5,5,9,13,16,25,32,28,71,29,29,275,1928.727273,1928,"$1,750-$1,999 ($91,000-$103,999)"
Orange - North,0,5,0,5,4,9,6,15,25,41,51,111,30,39,341,2067.741935,2067,"$2,000-$2,999 ($104,000-$155,999)"
Orange Surrounds,0,0,4,7,3,0,4,13,16,12,5,38,15,22,139,1982.014388,1982,"$1,750-$1,999 ($91,000-$103,999)"
Grafton,0,0,0,0,0,0,5,10,8,19,16,43,0,4,105,1830.952381,1830,"$1,750-$1,999 ($91,000-$103,999)"
Grafton Surrounds,0,0,0,0,6,5,5,15,12,12,9,28,0,0,92,1515.76087,1515,"$1,500-$1,749 ($78,000-$90,999)"
Maclean - Yamba - Iluka,0,0,4,4,6,13,11,10,13,21,17,37,6,7,149,1644.966443,1644,"$1,500-$1,749 ($78,000-$90,999)"
Bellingen,0,0,3,0,3,8,15,7,16,12,16,26,0,0,106,1511.320755,1511,"$1,500-$1,749 ($78,000-$90,999)"
Coffs Harbour - North,0,0,3,8,3,4,9,16,13,21,9,28,0,7,121,1544.421488,1544,"$1,500-$1,749 ($78,000-$90,999)"
Coffs Harbour - South,0,4,0,0,0,5,7,14,4,14,10,21,4,4,87,1680.45977,1680,"$1,500-$1,749 ($78,000-$90,999)"
